"#OBSVHA,96,GPS,FINE,2323,120410000,0,0,18,11;0*ab409b9c"
"#BDSEPHA,96,GPS,FINE,2323,120446000,0,0,18,14;32,110160.0,0,1,1,2323,2323,108000.0,2.790612236e+07,3.412284993e-09,1.101040755e+00,4.7915498726e-04,-5.1493132196e-01,-1.456122845e-06,7.855240256e-06,2.10687500e+02,-3.12812500e+01,9.872019291e-08,-4.796311259e-08,9.7792875953e-01,4.725196823e-10,2.681215387e+00,-6.57205947e-09,1,108000.0,-7.600000000e-09,-7.600000000e-09,-6.73621e-04,-1.04130e-11,0.00000e+00,TRUE,1.354348992e-04,4.00000000e+00*252a8419"
"#BDSEPHA,96,GPS,FINE,2323,120446000,0,0,18,14;45,111600.0,0,1,1,2323,2323,111600.0,2.790611530e+07,4.124814672e-09,-2.973195606e+00,4.6342203859e-04,-3.1839587348e-01,1.492444426e-06,9.085051715e-06,1.73515625e+02,2.82656250e+01,-1.816079021e-08,7.450580597e-09,9.4969187903e-01,-1.242908915e-10,-1.500161504e+00,-6.77135348e-09,1,111600.0,1.900000000e-08,1.900000000e-08,-1.04779e-04,-4.33875e-12,0.00000e+00,TRUE,1.354356631e-04,4.00000000e+00*507628e5"
"#GLOEPHA,96,GPS,FINE,2323,120446000,0,0,18,14;38,8,1,0,2323,119718000,10782,197,0,0,49,0,1.006096679687500e+07,1.386668505859375e+07,1.889119677734375e+07,-2.353767395019531e+03,-1.079464912414551e+03,2.046961784362793e+03,0.000000931322575,-0.000000000000000e+00,-9.313225746154785e-07,-9.142141789197922e-05,8.381903172e-09,9.094947017729282e-13,44070,2,2,0,4*cb986fec"
"#GLOEPHA,96,GPS,FINE,2323,120446000,0,0,18,14;39,3,1,0,2323,119718000,10782,197,0,0,49,0,2.181506005859375e+07,1.245446777343750e+07,4.669475585937500e+06,-4.923915863037109e+02,-4.424371719360352e+02,3.506488800048828e+03,0.000000931322575,-9.313225746154785e-07,9.313225746154785e-07,2.371706068515778e-05,5.587935448e-09,0.000000000000000e+00,43230,2,2,0,12*89de7e8a"
"#GLOEPHA,96,GPS,FINE,2323,120446000,0,0,18,14;44,12,1,0,2323,112518000,10782,197,0,0,41,0,-6.440652832031250e+06,9.381915527343750e+06,2.287172656250000e+07,-1.795485496520996e+03,-2.553534507751465e+03,5.382413864135742e+02,0.000000931322575,0.000000000000000e+00,-1.862645149230957e-06,-8.670426905155182e-05,1.862645149e-09,9.094947017729282e-13,36000,2,1,0,13*0a61e6e6"
"#GLOEPHA,96,GPS,FINE,2323,120446000,0,0,18,14;45,13,1,0,2323,117918000,10782,197,0,0,47,0,-4.770114746093750e+06,9.774153320312500e+06,2.313175341796875e+07,-2.674432754516602e+03,-1.668191909790039e+03,1.507196426391602e+02,0.000000931322575,0.000000-08,1.210000000e-08,-6.87704e-04,-4.29115e-11,0.00000e+00,TRUE,1.354344077e-04,4.00000000e+00*8f899083"
"#BDSEPHA,96,GPS,FINE,2323,120458000,0,0,18,13;22,118800.0,0,1,1,2323,2323,118800.0,2.790617038e+07,3.424785513e-09,-7.725365680e-01,6.9836154580e-04,4.5508277573e-01,-1.212581992e-06,7.606577128e-06,2.15015625e+02,-2.52187500e+01,-2.793967724e-09,-2.933666110e-08,9.7843918481e-01,3.400141630e-10,2.689340143e+00,-6.60813240e-09,1,118800.0,1.360000000e-08,1.360000000e-08,6.11831e-05,1.21192e-11,0.00000e+00,TRUE,1.354345621e-04,4.00000000e+00*ca101083"
"#BDSEPHA,96,GPS,FINE,2323,120458000,0,0,18,13;29,118800.0,0,1,1,2323,2323,118800.0,2.790603280e+07,4.093027634e-09,6.192751682e-01,2.3330689874e-04,1.9817683759e+00,2.230517566e-07,2.691987902e-06,3.04140625e+02,7.26562500e+00,3.725290298e-09,4.936009645e-08,9.5653266829e-01,-1.732215011e-10,5.586580531e-01,-7.11958227e-09,1,118800.0,-3.000000000e-10,-3.000000000e-10,3.08450e-04,4.86100e-12,0.00000e+00,TRUE,1.354362319e-04,4.00000000e+00*c979367b"
"#BDSEPHA,96,GPS,FINE,2323,120458000,0,0,18,13;30,111630.0,0,1,1,2323,2323,111600.0,2.790600290e+07,4.000880938e-09,1.608331485e+00,4.3002609164e-04,8.4118066049e-01,-9.313225746e-09,2.972781658e-06,3.00171875e+02,3.67187500e+00,2.980232239e-08,2.095475793e-08,9.5648750216e-01,-2.442958902e-10,5.591961655e-01,-7.08458082e-09,1,111600.0,-9.800000000e-09,-9.800000000e-09,-1.32617e-04,-1.17160e-11,0.00000e+00,TRUE,1.354363574e-04,4.00000000e+00*5acea53c"
"#BDSEPHA,96,GPS,FINE,2323,120458000,0,0,18,13;32,110160.0,0,1,1,2323,2323,108000.0,2.790612236e+07,3.412284993e-09,1.101040755e+00,4.7915498726e-04,-5.1493132196e-01,-1.456122845e-06,7.855240256e-06,2.10687500e+02,-3.12812500e+01,9.872019291e-08,-4.796311259e-08,9.7792875953e-01,4.725196823e-10,2.681215387e+00,-6.57205947e-09,1,108000.0,-7.600000000e-09,-7.600000000e-09,-6.73621e-04,-1.04130e-11,0.00000e+00,TRUE,1.354348992e-04,4.00000000e+00*9431f30e"
"#BDSEPHA,96,GPS,FINE,2323,120458000,0,0,18,13;45,111600.0,0,1,1,2323,2323,111600.0,2.790611530e+07,4.124814672e-09,-2.973195606e+00,4.6342203859e-04,-3.1839587348e-01,1.492444426e-06,9.085051715e-06,1.73515625e+02,2.82656250e+01,-1.816079021e-08,7.450580597e-09,9.4969187903e-01,-1.242908915e-10,-1.500161504e+00,-6.77135348e-09,1,111600.0,1.900000000e-08,1.900000000e-08,-1.04779e-04,-4.33875e-12,0.00000e+00,TRUE,1.354356631e-04,4.00000000e+00*40e81bde"
"#GLOEPHA,96,GPS,FINE,2323,120458000,0,0,18,14;38,8,1,0,2323,119718000,10782,197,0,0,49,0,1.006096679687500e+07,1.386668505859375e+07,1.889119677734375e+07,-2.353767395019531e+03,-1.079464912414551e+03,2.046961784362793e+03,0.000000931322575,-0.000000000000000e+00,-9.313225746154785e-07,-9.142141789197922e-05,8.381903172e-09,9.094947017729282e-13,44070,2,2,0,4*34fc0355"
