ID,Type,Number,Date,Latitude [deg],Longitude [deg],Height [m],Posx [m],Posy [m],Posz [m],Velx [mm/s],Vely [mm/s],Velz [mm/s],nSats,Gyrx [deg/s],Gyry [deg/s],Gyrz [deg/s],Magx [uT],Magy [uT],Magz [uT],CPU Temperature [°C]
ERRE,PVT,38918,2023-09-24 06:34:21.800002,67.93885321858328,21.33603288424778,8547.262006046249,2240847.045714794,875293.6247285747,5896456.270400878,-12048,4443,9573,15,-278,-43,532,27,1,71,None
ERRE,PVT,38919,2023-09-24 06:34:22.000002,67.93887550462857,21.33607346783236,8548.323703121403,2240844.648506051,875294.5177592869,5896458.189220582,-12035,4440,9618,15,-320,49,502,28,1,74,None
ERRE,PVT,38920,2023-09-24 06:34:22.200002,67.93889787462116,21.336114024600295,8549.389453538615,2240842.2450302565,875295.4071303012,5896460.115317697,-12076,4470,9537,15,-237,118,505,26,1,72,None
ERRE,PVT,38921,2023-09-24 06:34:22.400002,67.93892022925836,21.336154673643026,8550.463696406698,2240839.8445951566,875296.3018456332,5896462.0486407615,-12036,4457,9601,15,-131,198,515,27,2,71,None
ERRE,PVT,38922,2023-09-24 06:34:22.600002,67.93894261134216,21.33619525780556,8551.52722360936,2240837.438754907,875297.1915221169,5896463.9731834605,-12056,4440,9622,15,-31,198,576,27,0,69,None
ERRE,PVT,38923,2023-09-24 06:34:22.800002,67.93896494861694,21.336235789388866,8552.582980140884,2240835.0353182857,875298.0797644438,5896465.8886441905,-12047,4436,9614,15,-12,129,586,27,0,72,None
ERRE,PVT,38924,2023-09-24 06:34:23.000002,67.93898730351485,21.336276215895637,8553.643860836939,2240832.6335793105,875298.9639304233,5896467.809592579,-12026,4444,9627,15,-122,83,605,27,1,71,None
ERRE,PVT,38925,2023-09-24 06:34:23.200002,67.93900968468633,21.33631673802085,8554.703556137869,2240830.227430569,875299.8506811981,5896469.730543889,-12046,4457,9604,15,-227,78,665,27,1,71,None
ERRE,PVT,38926,2023-09-24 06:34:23.400002,67.93903207924028,21.336357232867734,8555.767816396,2240827.8220041655,875300.7364815843,5896471.656286708,-12044,4460,9641,15,-226,110,675,26,1,72,None
ERRE,PVT,38927,2023-09-24 06:34:23.600002,67.93905444857066,21.33639767981206,8556.82588308168,2240825.4175734264,875301.6205086696,5896473.575230755,-12057,4437,9580,15,-148,167,711,27,2,74,None
ERRE,PVT,38928,2023-09-24 06:34:23.800002,67.93907681780192,21.336438065797356,8557.881076490958,2240823.013077103,875302.5017593703,5896475.491507142,-12029,4423,9585,15,-14,191,723,28,1,72,None
ERRE,PVT,38929,2023-09-24 06:34:24.000002,67.93909913178119,21.33647836542918,8558.931548823362,2240820.6135741505,875303.3810650967,5896477.40108982,-12021,4410,9542,15,32,98,793,27,1,71,None
ERRE,PVT,38930,2023-09-24 06:34:24.200002,67.93912136712935,21.33651865390164,8559.972935511398,2240818.2186429547,875304.2616507104,5896479.298953073,-12008,4424,9597,15,-64,127,806,27,0,71,None
ERRE,PVT,38931,2023-09-24 06:34:24.400002,67.93914359759009,21.33655897482519,8561.016571555387,2240815.8244729773,875305.1439935865,5896481.198695395,-12014,4420,9605,15,-199,156,818,27,1,71,None
ERRE,PVT,38932,2023-09-24 06:34:24.600002,67.93916585023877,21.336599286990573,8562.060903554882,2240813.4285398973,875306.0252500827,5896483.100012864,-12021,4385,9559,15,-249,113,853,28,1,72,None
ERRE,PVT,38933,2023-09-24 06:34:24.800002,67.93918815072284,21.33663961504391,8563.11875697107,2240811.0324814,875306.9071708831,5896485.015867779,-12018,4390,9579,15,-249,132,831,28,0,71,None
ERRE,PVT,38934,2023-09-24 06:34:25.000002,67.93921045612588,21.33667990175874,8564.178969406825,2240808.637404287,875307.787608729,5896486.934114753,-11999,4380,9555,15,-185,120,782,28,1,73,None
ERRE,PVT,38935,2023-09-24 06:34:25.200002,67.93923276456407,21.336720152132102,8565.233785486254,2240806.240700654,875308.6657701717,5896488.84748719,-12003,4361,9580,15,-195,134,791,29,0,70,None
ERRE,PVT,38936,2023-09-24 06:34:25.400002,67.93925507323708,21.336760397253848,8566.297085277862,2240803.847021418,875309.544873401,5896490.768731475,-11977,4354,9622,15,-264,63,775,27,1,72,None
ERRE,PVT,38937,2023-09-24 06:34:25.600002,67.93927744591767,21.336800732719396,8567.353271987913,2240801.4433011687,875310.4241239133,5896492.686067823,-12022,4371,9569,15,-305,39,744,26,1,71,None
ERRE,PVT,38938,2023-09-24 06:34:25.800002,67.93929988749547,21.336841034694384,8568.416712796903,2240799.0359865963,875311.3004578425,5896494.613016639,-11995,4356,9618,15,-323,57,739,27,0,74,None
ERRE,PVT,38939,2023-09-24 06:34:26.000002,67.939322345704,21.33688132840887,8569.480777527262,2240796.6274118857,875312.1759242669,5896496.541240717,-11973,4351,9625,15,-313,127,697,27,1,71,None
ERRE,PVT,38940,2023-09-24 06:34:26.200002,67.93934482916339,21.336921606017523,8570.549041558535,2240794.218116622,875313.0503803169,5896498.474415264,-11992,4334,9662,15,-251,168,713,28,0,72,None
